Icao,Message,Timestamp,Receiver,df,Receiver IP
7020A4,5D7020A44E9C36,122CDE1BDDFD3B,2,11,192.168.101.3
8005F0,5D8005F0BD7CF8,122CDE2FA29837,2,11,192.168.101.3
70209E,5D70209E4FD129,122CDA898FCB24,1,11,192.168.30.27
485785,5D485785CE072A,122CDAB9A68626,1,11,192.168.30.27
485785,5D485785CE072A,122CDB6A803425,1,11,192.168.30.27
8005F0,5D8005F0BD7CF8,122CDB6CD4754E,1,11,192.168.30.27
702075,5D702075B50D47,122CE17D87AB34,2,11,192.168.101.3
800C11,5D800C1139AD60,122CE576BEA62C,1,11,192.168.30.27
800C11,5D800C1139AD2B,122CE8763D3A2E,2,11,192.168.101.3
800C11,5D800C1139AD60,122CE6A8898C25,1,11,192.168.30.27
800C11,5D800C1139AD60,122CE8C5D9C826,2,11,192.168.101.3
80139F,5D80139F846B6F,122CE6FEAA603C,1,11,192.168.30.27
800C11,5D800C1139AD2B,122CE963A29A30,2,11,192.168.101.3
800C11,5D800C1139AD2B,122CEA50F85B21,2,11,192.168.101.3
800C11,5D800C1139AD2B,122CEAC79E422A,2,11,192.168.101.3
800C11,5D800C1139AD2B,122CEE7B52CE24,1,11,192.168.30.27
800C11,5D800C1139AD2B,122CEBB443402C,2,11,192.168.101.3
800602,5D800602AAD2A4,122CEC23245245,2,11,192.168.101.3
702085,5D702085B0A981,122CEEF0D5EF42,1,11,192.168.30.27
702085,5D702085B0A98F,122CEF65234036,1,11,192.168.30.27
800C3C,5D800C3CC7D095,122CEFBC7D5013,1,11,192.168.30.27
800C3C,5D800C3CC7D09D,122CEFBC7D5F30,1,11,192.168.30.27
800C11,5D800C1139AD2B,122CEFDF05B42D,1,11,192.168.30.27
702085,5D702085B0A981,122CF013E35646,1,11,192.168.30.27
702C0A,5D702C0A005507,122CED01CD3C3E,2,11,192.168.101.3
702085,5D702085B0A981,122CEDC20E183D,2,11,192.168.101.3
680002,5D680002C5DD3F,122CFB841D4054,2,11,192.168.101.3
680002,5D680002C5DD3F,122D005EF8412F,2,11,192.168.101.3
800655,5D800655566138,122CF46A7F1247,1,11,192.168.30.27
7BD01B,5D7BD01B94C122,122D006B99A721,2,11,192.168.101.3
680002,5D680002C5DD3F,122D00D5E7182E,2,11,192.168.101.3
801410,5D80141056ED67,122D010497AB3E,2,11,192.168.101.3
800C11,5D800C1139AD6E,122D01664AA825,2,11,192.168.101.3
702C09,5D702C09FFBD1B,122CF5EB2BB144,1,11,192.168.30.27
800655,5D800655566136,122D027678F020,2,11,192.168.101.3
680002,5D680002C5DD3F,122D02B04E0E2F,2,11,192.168.101.3
702C09,5D702C09FFBD1B,122CF6EB2AE941,1,11,192.168.30.27
70206C,5D70206C4A69FA,122D02EC91F880,2,11,192.168.101.3
800655,5D800655566136,122D036AE71922,2,11,192.168.101.3
70206C,5D70206C4A69BF,122D03F9470871,2,11,192.168.101.3
800BB1,5D800BB1154A9E,122CF884C7B05C,1,11,192.168.30.27
70206C,5D70206C4A69BF,122D0470AA2576,2,11,192.168.101.3
70206C,5D70206C4A69F4,122CF9098FC173,1,11,192.168.30.27
800655,5D800655566136,122D04944C8523,2,11,192.168.101.3
702099,5D702099B0010D,122CF921715728,1,11,192.168.30.27
70206C,5D70206C4A69BF,122D04E69D845E,2,11,192.168.101.3
680002,5D680002C5DD3F,122D0500EC4230,2,11,192.168.101.3
70206C,5D70206C4A69F4,122CFA2C4B1F74,1,11,192.168.30.27
680002,5D680002C5DD3F,122D05ED28C22C,2,11,192.168.101.3
800BB1,5D800BB1154A90,122D0A80D1094D,1,11,192.168.30.27
702099,5D702099B00103,122D0A829F7032,1,11,192.168.30.27
702097,5D702097B05542,122D0A85DC4B76,1,11,192.168.30.27
70206C,5D70206C4A69BF,122D0AEAD57A6A,1,11,192.168.30.27
801410,5D80141056ED68,122D0B1E26904C,1,11,192.168.30.27
70206C,5D70206C4A69BF,122D073748E861,2,11,192.168.101.3
800BB1,5D800BB1154A90,122D0764CA3354,2,11,192.168.101.3
800C74,5D800C74C4238F,122D0BB031B52A,1,11,192.168.30.27
702097,5D702097B05542,122D0BB51F2F6A,1,11,192.168.30.27
70206C,5D70206C4A69BF,122D0823AA076A,2,11,192.168.101.3
800BB1,5D800BB1154A90,122D085BC7FF6F,2,11,192.168.101.3
702085,5D702085B0A98F,122D089E690035,2,11,192.168.101.3
702085,5D702085B0A98F,122D08A8B9B050,2,11,192.168.101.3
801410,5D80141056ED68,122D090BDFC54B,2,11,192.168.101.3
800C74,5D800C74C4238F,122D0CD2822436,1,11,192.168.30.27
702097,5D702097B05542,122D0CD76FDC73,1,11,192.168.30.27
800BB1,5D800BB1154A90,122D098701215F,2,11,192.168.101.3
702099,5D702099B00103,122D0988CF8821,2,11,192.168.101.3
70206C,5D70206C4A69BF,122D09FE13AD69,2,11,192.168.101.3
680002,5D680002C5DD7A,122D0D8C61742C,1,11,192.168.30.27
800C74,5D800C74C4238F,122D0DF60AD52C,1,11,192.168.30.27
801410,5D80141056ED68,122D0A6D873B4B,2,11,192.168.101.3
800DAA,5D800DAACE1F37,122D16E035A245,2,11,192.168.101.3
801410,5D80141056ED22,122D17045B6B3E,2,11,192.168.101.3
800DAA,5D800DAACE1F37,122D17913E4141,2,11,192.168.101.3
800C74,5D800C74C4238F,122D0EF1BE5130,1,11,192.168.30.27
800DAA,5D800DAACE1F37,122D19207A3B3E,2,11,192.168.101.3
801410,5D80141056ED22,122D1953E44847,2,11,192.168.101.3
70206D,5D70206DB59DF3,122D19614DE091,2,11,192.168.101.3
702075,5D702075B50D49,122D19AA98D044,2,11,192.168.101.3
800DAA,5D800DAACE1F37,122D19D1484142,2,11,192.168.101.3
801410,5D80141056ED22,122D1BA4CA4342,2,11,192.168.101.3
702075,5D702075B50D49,122D1BC579833E,2,11,192.168.101.3
801410,5D80141056ED22,122D1C1B33113D,2,11,192.168.101.3
801410,5D80141056ED22,122D143D07713F,1,11,192.168.30.27
702075,5D702075B50D49,122D1CBB68BD44,2,11,192.168.101.3
702097,5D702097B0554C,122D1491928254,1,11,192.168.30.27
800C74,5D800C74C42381,122D14CC82D431,1,11,192.168.30.27
801410,5D80141056ED22,122D1D0888D248,2,11,192.168.101.3
801410,5D80141056ED22,122D1529D0E047,1,11,192.168.30.27
801410,5D80141056ED22,122D1D7F247745,2,11,192.168.101.3
70206D,5D70206DB59DB6,122D228678AEBD,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D22FD1483B8,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D2372B6E4C7,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D245FEA38C7,1,11,192.168.30.27
800BB1,5D800BB1154A9E,122D24EDB20E1D,1,11,192.168.30.27
